Nature (classification) ,Case # ,Location(s) ,Date/Time Reported ,Date/Time Occurred (start) ,Time,Day of Week,Date/Time Occurred (end) ,disposition 
Theft ,20-0136 ,South Stadium Lot ,04/22/2020 11:21 p.m. ,4/22/2020,11:10 p.m. ,Wednesday,04/22/2020 11:25 p.m. ,Criminal Arrest 
Criminal Mischief ,20-0137 ,Entrance #20 ,04/25/2020 2:08 p.m. ,4/25/2020,midnight ,Saturday,04/25/2020 3:30 p.m. ,Inactive 
Fraud ,20-0139 ,Cambridge Building ,04/28/2020 12:23 p.m. ,4/23/2020,midnight ,Thursday,04/28/2020 midnight ,Inactive 
Burglary (Clery) ,20-0141 ,Rayzor Hall ,05/07/2020 1:34 p.m. ,4/16/2020,midnight ,Thursday,05/07/2020 11 a.m. ,Inactive 
Theft ,20-0142 ,Keck Hall ,05/07/2020 1:39 p.m. ,5/6/2020,7:50 a.m. ,Wednesday,05/07/2020 11:45 a.m. ,Inactive 
Burglary (Clery) ,20-0143 ,Kraft Hall ,05/08/2020 12:21 p.m. ,4/24/2020,midnight ,Friday,05/08/2020 midnight ,Unfounded 
Burglary (Clery) ,20-0145 ,Rice Stadium ,05/11/2020 5:37 a.m. ,5/9/2020,6 p.m. ,Saturday,05/11/2020 5 a.m. ,Inactive 
Theft ,20-0148 ,Lovett Hall ,05/13/2020 7:39 p.m. ,3/20/2020,4 p.m. ,Friday,05/13/2020 4:01 p.m. ,Inactive 
Criminal Mischief ,20-0150 ,Entrance 17 ,05/18/2020 8:51 a.m. ,5/18/2020,8:51 a.m. ,Monday,05/18/2020 9:06 a.m. ,Inactive 
Burglary (Clery) ,20-0151 ,Sid Richardson College ,05/18/2020 3:18 p.m. ,5/15/2020,3 p.m. ,Friday,05/18/2020 3 p.m. ,Inactive 
Criminal Mischief ,20-0154 ,North Lot ,05/27/2020 4:18 p.m. ,5/27/2020,6 a.m. ,Wednesday,05/28/2020 4 p.m. ,Inactive 
Criminal Trespass ,20-0157 ,Rice Stadium ,06/09/2020 10:53 p.m. ,6/9/2020,10:53 p.m. ,Tuesday,06/09/2020 11:34 p.m. ,Cleared 
Theft ,20-0158 ,Tudor Field House ,06/11/2020 3:15 p.m. ,6/11/2020,2:15 p.m. ,Thursday,06/11/2020 3 p.m. ,Inactive 
Theft ,20-0161 ,BRC ,06/15/2020 3:24 p.m. ,6/12/2020,12:30 p.m. ,Friday,06/12/2020 10:30 p.m. ,Inactive 
Criminal Trespass ,20-0164 ,Lot 6 ,06/17/2020 7:35 p.m. ,6/17/2020,7:37 p.m. ,Wednesday,06/17/2020 11:11 p.m. ,Criminal Arrest 
Theft ,20-0165 ,Greenbriar Lot ,06/18/2020 11:09 a.m. ,6/16/2020,4 p.m. ,Tuesday,06/17/2020 7 a.m. ,Inactive 
Warrants ,20-0166 ,RUMPAC/Brockman Performing arts Center ,06/22/2020 2:13 p.m. ,6/22/2020,12:57 p.m. ,Monday,06/22/2020 5:20 p.m. ,Criminal Arrest 
Hate Incident (Clery) ,20-0169 ,Herring Hall ,06/25/2020 2:06 p.m. ,6/25/2020,7 a.m. ,Thursday,06/25/2020 1 p.m. ,Inactive 
Harassment ,20-0171 ,Off Campus ,06/28/2020 10:03 a.m. ,6/27/2020,2:30 p.m. ,Saturday,06/27/2020 2:30 p.m. ,Inactive 
Criminal Mischief ,20-0172 ,Reckling Park ,06/30/2020 7:32 a.m. ,6/29/2020,5:30 p.m. ,Monday,06/30/2020 7:15 a.m. ,Inactive 
Fraud ,20-0173 ,McMurtry College ,06/30/2020 4:48 p.m. ,6/24/2020,midnight ,Wednesday,06/27/2020 midnight ,Inactive 
Theft ,20-0174 ,BRC ,07/01/2020 3:51 p.m. ,6/30/2020,4 p.m. ,Tuesday,06/30/2020 8:30 p.m. ,Criminal Arrest 
Fraud ,20-0175 ,Housing and Dining ,07/03/2020 9:54 a.m. ,6/26/2020,midnight ,Friday,07/02/2020 midnight ,Inactive 
Terroristic Threat ,20-0177 ,West Lot ,07/04/2020 10:45 p.m. ,7/4/2020,7:30 p.m. ,Saturday,07/04/2020 7:30 p.m. ,Inactive 
Fraud ,20-0178 ,Rice Village Apartments ,07/07/2020 9:12 a.m. ,7/7/2020,midnight ,Tuesday,07/07/2020 midnight ,Inactive 
Drug/Narcotic Violations (Clery) ,20-0179 ,North Colleges Lot ,07/13/2020 1:42 a.m. ,7/13/2020,1:42 a.m. ,Monday,07/13/2020 7:39 a.m. ,Criminal Arrest 
Fraud ,20-0180 ,Off Campus ,07/15/2020 2:50 p.m. ,7/9/2020,5:30 a.m. ,Thursday,07/11/2020 noon ,Inactive 
Fraud ,20-0181 ,Off Campus ,07/20/2020 11:59 a.m. ,7/9/2020,5:32 p.m. ,Thursday,07/20/2020 noon ,Referred other jurisdiction 
Fraud ,20-0182 ,Off Campus ,07/21/2020 11:31 a.m. ,7/20/2020,4:33 p.m. ,Monday,07/20/2020 4:33 p.m. ,Inactive 
Fraud ,20-0185 ,Off Campus ,07/28/2020 3:55 p.m. ,7/20/2020,4:33 p.m. ,Monday,07/20/2020 4:33 p.m. ,Inactive 
Failure to Stop and Give Information ,20-0187 ,West Lot ,07/31/2020 10:43 a.m. ,7/31/2020,10:20 a.m. ,Friday,07/31/2020 10:40 a.m. ,Inactive 
Criminal Mischief ,20-0190 ,North Lot ,08/17/2020 3:51 p.m. ,8/17/2020,5:15 a.m. ,Monday,08/17/2020 3:50 p.m. ,Inactive 
Indecent Exposure ,20-0192 ,Academic Quad ,08/19/2020 2:59 a.m. ,8/19/2020,2:59 a.m. ,Wednesday,08/19/2020 3:45 a.m. ,Judicial Referral 
Robbery (Clery) ,20-0195 ,Entrance #3 ,08/19/2020 5:41 p.m. ,8/19/2020,5:38 p.m. ,Wednesday,08/19/2020 5:40 p.m. ,Criminal Arrest 
Terroristic Threat ,20-0196 ,Rice University Police ,08/20/2020 9:46 a.m. ,8/20/2020,9:46 a.m. ,Thursday,08/20/2020 11 a.m. ,Inactive 
Assault ,20-0197 ,McMurtry College ,08/22/2020 10:27 a.m. ,8/22/2020,10:25 a.m. ,Saturday,08/22/2020 10:27 a.m. ,County Citiation 
Theft ,20-0198 ,Jones College ,08/22/2020 4:13 p.m. ,8/18/2020,midnight ,Tuesday,08/20/2020 midnight ,Inactive 
Theft ,20-0199 ,Wiess College ,08/22/2020 4:24 p.m. ,8/16/2020,2 p.m. ,Sunday,08/22/2020 midnight ,Inactive 
Theft ,20-0203 ,Hanszen College ,08/27/2020 4:16 p.m. ,3/8/2020,1 p.m. ,Sunday,08/23/2020 8 p.m. ,Inactive 
Fraud ,20-0204 ,Off Campus ,08/28/2020 4:29 p.m. ,8/26/2020,midnight ,Wednesday,08/28/2020 8 a.m. ,Inactive 
Theft ,20-0206 ,Hanszen College ,08/31/2020 7:29 p.m. ,8/30/2020,10:45 a.m. ,Sunday,08/30/2020 4 p.m. ,Inactive 
Burglary of a Motor Vehicle ,20-0207 ,Mudd Lab ,09/02/2020 5:08 p.m. ,9/2/2020,6 a.m. ,Wednesday,09/02/2020 5 p.m. ,Inactive 
Theft ,20-0208 ,Off Campus ,09/03/2020 2:31 p.m. ,2/1/2020,midnight ,Saturday,09/03/2020 midnight ,Criminal Arrest 
Criminal Mischief ,20-0212 ,South Colleges Lot ,09/09/2020 11:29 a.m. ,9/9/2020,10 a.m. ,Wednesday,09/09/2020 10:25 a.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,20-0213 ,Tudor Field House ,09/09/2020 2:54 p.m. ,9/9/2020,11:30 a.m. ,Wednesday,09/09/2020 2:30 p.m. ,Unfounded 
Drug/Narcotic Violations (Clery) ,20-0214 ,McMurtry College ,09/08/2020 10:37 p.m. ,9/8/2020,8:30 p.m. ,Tuesday,09/09/2020 8:37 p.m. ,Judicial Referral 
Sex Offenses (Forcible) (Clery) ,20-0216 ,Off Campus ,09/12/2020 5:48 p.m. ,9/11/2020,8 p.m. ,Friday,09/12/2020 2 a.m. ,Referred other jurisdiction 
Theft ,20-0217 ,McMurtry College ,09/14/2020 11 a.m. ,9/1/2020,9:30 p.m. ,Tuesday,09/04/2020 8:30 a.m. ,Inactive 
Fraud ,20-0218 ,Off Campus ,09/15/2020 7:34 p.m. ,9/15/2020,midnight ,Tuesday,09/15/2020 7:23 p.m. ,Inactive 
